id,file_name,file_url,is_cover,product_variant,supabase_path,upload_status,uploaded_at,file_size,upload_error,checksum
1,100804-001__B_1__e30251ad66df423fa457b6ae38a2715a.png,/images/products/100804-001__B_1__e30251ad66df423fa457b6ae38a2715a.png,false,1,,local,,321478,,c5a0e0ef4d3348376a32b47bb160458c
2,100804-001__B_2__6ab454ca465c4831a20eaa62599aa216.png,/images/products/100804-001__B_2__6ab454ca465c4831a20eaa62599aa216.png,false,1,,local,,352420,,6533e3a70f851fe257571caedb208be8
3,100804-001__B_3__84fec88aae454b4e9aa311937dc12def.png,/images/products/100804-001__B_3__84fec88aae454b4e9aa311937dc12def.png,false,1,,local,,303643,,5071b6bfdd711f35bed9173662d99c05
4,100804-001__B_4__136bd80a4b9448dbb5dbce416bdf7eb7.png,/images/products/100804-001__B_4__136bd80a4b9448dbb5dbce416bdf7eb7.png,false,1,,local,,475679,,4c18d2387f903152a151124de24568cc
5,100804-001__D_100__6af55973451142eebdf41f57a694c327.png,/images/products/100804-001__D_100__6af55973451142eebdf41f57a694c327.png,false,1,,local,,326572,,2e48f4753f64acb092b0920a11952183
6,100804-001__S_0__e89b6698606e4b9e88f442cfa95b8149.png,/images/products/100804-001__S_0__e89b6698606e4b9e88f442cfa95b8149.png,true,1,,local,,227068,,cfb459fb63b4bf6d214ba10b6c9e2e83
7,100804-410__B_1__3490e3bb928848f9922362014727fb57.png,/images/products/100804-410__B_1__3490e3bb928848f9922362014727fb57.png,false,2,,local,,468506,,141a8b9a1c0975f5988b13f711ee3912
8,100804-410__B_2__7ac39d7e29f44c608f940d0424407678.png,/images/products/100804-410__B_2__7ac39d7e29f44c608f940d0424407678.png,false,2,,local,,462362,,8e41b63742c094ff8de4360c4aa6f0f1
9,100804-410__B_3__d43d7d5842a448a9be87d9069345e5ec.png,/images/products/100804-410__B_3__d43d7d5842a448a9be87d9069345e5ec.png,false,2,,local,,437639,,9f2f592043eef76d4c30760e7e7eb99a
10,100804-410__D_100__f89de5d3d728405e86bb58bc9fc5355a.png,/images/products/100804-410__D_100__f89de5d3d728405e86bb58bc9fc5355a.png,false,2,,local,,466588,,9fb8f19fa3d6a6fd48267531b7eed892
